GRADE,NRD
Firefighter Trainee,55
Firefighter,55,1
Firefighter Competent,55
Firefighter to Station Officer,55
Leading Firefighter,55
Crew Manager Development,55
Crew Manager Competent,55
Station Officer,55
Sub officer,55
Watch Manager Development,55
Watch Manager Competent A,55
Watch Manager Competent B,55
Station Manager Development,60
Station Manager Competent A,60
Station Manager Competent B,60
Group Manager Development,60
Group Manager Competent A,60
Group Manager Competent B,60
Area Manager Development,60
Area Manager Competent A,60
Area Manager Competent B,60
Assistant Chief Fire Officer,60
Assistant Chief Fire Officer,60
Assistant Divisional Off or Above,60
Asst Divisional Officer,60
Deputy Chief Fire Officer,60
Deputy Chief Fire Officer,60
Chief Fire Officer,60
Chief Fire Officer,60
